date,consumer_sentiment,core_pce_inf,unemployment,cbo_unemployment,core_pce_real,interest
2016-03-01,-2.0,1.3906424250741065,5.0,,2.7313993342983953,0.36
2016-04-01,-6.900000000000006,1.4506041928412827,5.0,5.2,2.936043556079862,0.37
2016-05-01,4.0,1.4817778339978667,4.7,,2.5263478603342717,0.37
2016-06-01,-2.5999999999999943,1.400781695427941,4.9,,2.83392690391526,0.38
2016-07-01,-3.0999999999999943,1.4195956924905486,4.9,5.2,2.731502673931272,0.39
2016-08-01,-2.1000000000000085,1.4886201476975602,4.9,,2.4239233246081273,0.4
2016-09-01,4.0,1.4532187914773431,5.0,,2.628362293319923,0.4
2016-10-01,-2.799999999999997,1.5195219968494802,4.9,5.2,2.5260408952209135,0.4
2016-11-01,2.5,1.40864694118571,4.6,,2.4238215124739435,0.41
2016-12-01,5.6000000000000085,1.4785363875203403,4.7,,2.321704043368801,0.54
2017-01-01,6.5,1.5191142081536109,4.8,5.2,2.5267575584857775,0.65
2017-02-01,4.599999999999994,1.5614488048125492,4.7,,2.117877169419045,0.66
2017-03-01,5.900000000000006,1.3685773437376496,4.5,,2.322112923757884,0.79
2017-04-01,8.0,1.3477546169711745,4.4,5.2,2.0169773981403156,0.9
2017-05-01,2.3999999999999915,1.2517004599436232,4.3,,1.9150623358045213,0.91
2017-06-01,1.5999999999999943,1.2955001217272955,4.4,,1.7118418725227627,1.04
2017-07-01,3.4000000000000057,1.2941096163712358,4.3,5.2,1.6104342535072855,1.15
2017-08-01,7.0,1.2163387911039047,4.4,,1.7121463999071886,1.16
2017-09-01,3.8999999999999915,1.234448600430942,4.2,,1.9147602373572041,1.15
2017-10-01,13.5,1.3309362151292725,4.1,5.2,1.8130488997949656,1.15
2017-11-01,4.700000000000003,1.4057834498696207,4.1,,2.016268558277579,1.16
2017-12-01,-2.299999999999997,1.4717114192212226,4.1,,2.0162685582775723,1.3
2018-01-01,-2.799999999999997,1.4437323177163968,4.1,5.2,1.8122360211610176,1.41
2018-02-01,3.4000000000000057,1.4814185064264318,4.1,,2.117978471675021,1.42
2018-03-01,4.5,1.7774768097025013,4.1,,2.2198926218463457,1.51
2018-04-01,1.7999999999999972,1.7844856181134772,3.9,5.2,2.1179784716750167,1.69
2018-05-01,0.9000000000000057,1.9320823267918448,3.8,,2.2200964501466744,1.7
2018-06-01,3.1000000000000085,1.9287429964816372,4.0,,2.4243324070900174,1.82
2018-07-01,4.5,1.9960874247229112,3.9,5.2,2.4243324070900196,1.91
2018-08-01,-0.5999999999999943,1.9312931053638032,3.9,,2.6291810719042066,1.91
2018-09-01,5.0,1.956114129453565,3.7,,2.2211127575030005,1.95
2018-10-01,-2.1000000000000085,1.849433728400367,3.7,5.2,2.527469738794231,2.19
2018-11-01,-1.0,1.9207527996231633,3.7,,2.3232317512667517,2.2
2018-12-01,2.3999999999999915,1.9311425425452873,3.9,,1.710517788684326,2.27
2019-01-01,-4.5,1.721390862254994,4.0,5.2,1.9143464816476206,2.4
2019-02-01,-5.900000000000006,1.559019394853446,3.8,,1.812635557015227,2.4
2019-03-01,-3.0,1.4505641500519446,3.8,,2.2186680019086067,2.41
2019-04-01,-1.5999999999999943,1.5413581190438839,3.6,5.2,2.0146387244596893,2.42
2019-05-01,2.0,1.5188142107065328,3.6,,2.3203769024550973,2.39
2019-06-01,0.0,1.6602378400931563,3.7,,2.218362568554361,2.38
2019-07-01,0.5,1.6833531256825587,3.7,5.2,2.3203769024551035,2.4
2019-08-01,-6.400000000000006,1.7881582994343037,3.7,,2.218260757841852,2.13
2019-09-01,-6.8999999999999915,1.6821959251841836,3.5,,2.218260757841855,2.04
2019-10-01,-3.0999999999999943,1.660646632486278,3.6,5.2,1.811016691077538,1.83
2019-11-01,-0.7000000000000028,1.6501691877636393,3.5,,1.9126244921664397,1.55
2019-12-01,1.0,1.6935504559629868,3.5,,2.526555965010809,1.55
2020-01-01,8.599999999999994,1.7558466695587966,3.6,5.2,2.7316090769408254,1.55
2020-02-01,7.200000000000003,1.8467753057442473,3.5,,2.62898009684399,1.58
2020-03-01,-9.300000000000011,1.7180060791083007,4.4,,-7.766408155269301,0.65
2020-04-01,-25.400000000000006,1.068400208373049,14.7,5.2,-19.75677509508429,0.05
2020-05-01,-27.700000000000003,0.9724485055441809,13.3,,-13.123122040195854,0.05
2020-06-01,-20.10000000000001,0.927477383286577,11.1,,-8.181024192183044,0.08
2020-07-01,-25.900000000000006,1.0998011907829564,10.2,5.2,-7.082492078829304,0.09
2020-08-01,-15.700000000000003,1.2948794965815238,8.4,,-6.339894612925831,0.1
2020-09-01,-12.799999999999997,1.425722217989385,7.9,,-5.218216704098607,0.09
2020-10-01,-13.700000000000003,1.3292204503504779,6.9,5.2,-4.74430778761911,0.09
2020-11-01,-19.89999999999999,1.201908489641728,6.7,,-5.314132466855685,0.09
2020-12-01,-18.599999999999994,1.2780701859032935,6.7,,-6.164604330925846,0.09
2021-01-01,-20.799999999999997,1.4050885161636628,6.3,5.2,-4.478938540463428,0.09
2021-02-01,-24.200000000000003,1.3317987306628645,6.2,,-5.720712339437407,0.08
